factory_code,factory_name
31163,東南 ĐÔNG NAM
31164,寶麗 BAO LI
31165,中越盛 ZHONG YUE SHENG
31165.1,隆盛（STOP)LONG SHENG
31165.2,合盛 HOCENT
31166,福勝 PHÚC THẮNG
31167,德光 ĐỨC QUANG
31169,GSD
31170,楊南發 DƯƠNG NAM PHÁT
31171,雄豪 HÙNG HÀO
31172,泰德照明 CHIẾU SÁNG TIDA
31173,GỖ BUDEN
31174,明詩 MINH THI
31175,VIÊN NA
31176,西貢機器CƠ KHÍ SÀI GÒN
31177,天鸧THIÊN THƯƠNG
31178,C.R.M.G
31179,業順成 DOANH THUẬN THÀNH
31179,業順成 DOANH THUẬN THÀNH
31180,駿興 FRAMA GROUP ( VIET NAM )
31181,STOP 順溢 SHUN YI
31181.1,順安 UV THUẬN AN
31182,東西 ĐÔNG TÂY
31183,麒源 KỲ NGUYÊN
31184,SCANDINAVIA
31185,荣興 HẠNH HƯNG
31186,展兆 TRIỂN TRIỆU
31187,NEW LIFE FURNITURE
31188,鈞耀 QUÂN DIỆU
31188,鈞耀 QUÂN DIỆU
31189,皇榮  HOÀNG VINH
31190,YOURWAY TECH VN
31191,KINGMORE RACKING
31193,盛發木業 GỖ THỊNH PHÁT
31194,志銘 CHI NINH
31195,VFM
31196,五金豪英 NGŨ KIM HÀO ANH
31197,鑫泓 HỒNG KIM
31197,鑫泓 HỒNG KIM
31198,蓮木業 NỘI THẤT SEN
31199,陸發 LU-FA
31200,TRENDEX
31200,TRENDEX
31201,NATURE PUMP 南鈺
31201,NATURE PUMP 南鈺
31202,高登 GORDON
31203,三合 TAM HỢP
31204,青青國際公司 QUỐC TẾ THANH THANH
31205,有德五金 NGŨ KIM YOUDE
31206,HANSEI PLATING
31206,HANSEI PLATING
31207,侯耐 HỐ NAI
31208,新洋 TÂN DƯƠNG
31209,OECHSLER
31210,何清 HÀ THANH
31211,富康盛 PHÚ KHANG THỊNH
31212,阮清廉 NGUYỄN THANH LIÊM
31213,ZHIAO
31214,皇鼎 HUANG DING
31216,STICKLEY
31217,雙福 SONG PHƯỚC
31218,合胜 MTV HỢP THẮNG
31219,ĐIỆN CÔNG NGHIỆP TTP 電工業
31220,元辰 YUAN CHEN
31221,NAGASE VIET NAM
31221,NAGASE VIET NAM
31222,羅鴻原 LA HỒNG NGUYÊN
31223,晨宏 CHEN HONG
31224,TRANSFORMER ROBOTICS PTE
31225,(STOP) 騰鸿 ĐẰNG HỒNG
31225.1,振鸿 CHẤN HỒNG
31226,如禄發 NHƯ LỘC PHÁT
31227,權昱 QUAN YU
31228,龍興 LONG XING
31229,APOLO
31230,ANAQ
31231,PMA
31231,PMA
31232,JUWON
31233,山木 SƠN MỘC
31234,盛富發 THỊNH PHÚ PHÁT
31235,FOUR HANDSFOUR
31236,MỘC TÍN  木信
31238,HM DECOR
31239,易达 DỊ ĐẠT
31240,五金東泰 NGŨ KIM ĐÔNG THÁI
31241,成義 THÀNH NGHĨA
31242,陳明厚 TRẦN MINH HẬU
31242,陳明厚 TRẦN MINH HẬU
31243,COTSWOLD
31244,DA FANG WOOD
31245,强豐 CƯỜNG PHONG
31247,HCH 嘉阮木業
31250,D-HARDWARE
31251,淵興榮和 UYEN HUNG RONG HE
31252,WONDER WORK
31255,雙馬 PU SONG MÃ
31258,桑盛發SÁNG THỊNH PHÁT
31259,NGŨ KIM HỒNG THỊNH 宏盛五金
31260,NGUYỄN VĂN TUẤN 阮文俊
31261,GỖ VIỆT PHÁT  越發木業
31262,弘骐 REHAB ITALIAN DESIGN
31263,工業綠家 CÔNG NGHIỆP NHÀ XANH
31263,工業綠家 CÔNG NGHIỆP NHÀ XANH
31264,裕順興 DỤ THUẬN HƯNG
31265,KAMINT
31266,豐泰安 PHONG THÁI AN
31266.1,T&T (STOP)
31267,陳嘉强 TRẦN GIA CƯỜNG
31269.1,永逹 VĨNH ĐẠT
31270,德福 GERMAN WELFARE
31271,宏元 HỒNG NGUYÊN
31272,CZY
31273,PHÚC THỊNH
31274,NHẬT ĐỨC PHáT
31275,HONG YI 宏鎰家具
31276,THÀNH ĐẠT 成逹
31277,LEWIS
31278,SƠN NGUYÊN PHÁT 山源發
31279,HỒNG VẠN 弘萬
31280,GREAT WORLD 大世界
31281,ZINCBERT周全
31282,MING DIAN 銘典
31283,POU CHEN 寶成
31283.1,POU LI
31283.2,POU SUNG
